Idade ;Género;Estado Civil ;Nível de Escolaridade ;Qual o Concelho em que vive;Distrito de Residência;Região de Residência;Qual o Concelho de destino da maioria das deslocações quotidianas;Qual o modo de transporte que MAIS usa diariamente?;Utiliza outro modo de transporte diariamente? Indique quais;Qual a distância de sua casa até ao local de destino mais habitual (em km)?;Quanto tempo demora de casa ao local de destino mais habitual?;Costuma usar a bicicleta maioritariamente para ;Como Modo de Transporte utiliza a Bicicleta quantos dias por semana?;Gostaria de usar mais vezes a bicicleta na deslocação diária (como modo de transporte)?;Porque não usa a bicicleta como modo de transporte?;O que o/a faria usar (ou usar mais) a bicicleta como modo de transporte?;Quantos  pedala por semana, enquanto modo de transporte?;Qual o tipo de bicicleta que mais utiliza?;Em média quantos dias por semana pedala (considerando todos os modos);Quantos km pedala por semana, enquanto lazer?;Quanto km pedala por semana, enquanto deporto?
40-44 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Não haver subidas e descidas tão íngremes, não ter de transportar filhos para escolas;3,5;Outra;2;;100
20-24 anos;Masculino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;De Transporte Público;A pé, De Bicicleta;5;5 a 20 minutos;Como Modo de Transporte;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;20;Bicicleta Urbana/Convencional, Bicicleta de Montanha;3;5;
35-39 anos;Masculino;Unido de Facto;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar suado, Não acho prático, Não tenho onde guardar a minha bicicleta;Ter uma bicicleta, Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Receber por cada km que pedalasse;;;;;
55-59 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Passageiro);A pé;5;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito;Ter ciclovias seguras de casa até ao meu destino;;;;;
20-24 anos;Feminino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé, De Transporte Público;5;5 a 20 minutos;Não uso;;;Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Preocupa-me que quem anda de carro não me respeite na bicicleta, Não tenho onde guardar a minha bicicleta;Ter ciclovias seguras de casa até ao meu destino, Receber por cada km que pedalasse;;;;;
55-59 anos;Feminino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Condutor);5;5 a 20 minutos;Não uso;;;Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Há muitas subidas no meu percurso;Idade avançada para iniciar;;;;;
45-49 anos;Masculino;Casado/a;Ensino Básico (3º Ciclo);Braga;Braga;Norte;Braga;De Carro (Condutor);De Bicicleta;5;Menos de 5 minutos;Para Desporto;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;95;Bicicleta de Estrada, Bicicleta de Montanha, Bicicleta Dobrável;3;100;80
40-44 anos;Feminino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Braga;A pé;De Carro (Condutor);5;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Não quero chegar molhado, Há muitas subidas no meu percurso, Não tenho onde estacionar a bicicleta no local de trabalho;A cidade teria de ser mais plana e menos chuvosa;;;;;
45-49 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho de levar o(s) meu(s) filho(s) à escola;Ter ciclovias seguras de casa até ao meu destino;;;;;
40-44 anos;Masculino;Unido de Facto;Doutoramento;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Como Modo de Transporte;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;20;Bicicleta Elétrica, Bicicleta de Montanha;2;5;
40-44 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Como Modo de Transporte;;Sim;;Não me posso deslocar de bicicleta;0;Bicicleta Urbana/Convencional;6;;70
65-69 anos;Masculino;Casado/a;Doutoramento;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;;;;;
60-64 anos;Feminino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Não uso;;;Pelo facto de ter duas atividades profissionais e de ter de andar acompanhada de material de apoio pesado e volumoso;O meu trabalho não me permite usar a bicicleta;;;;;
35-39 anos;Masculino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé, De Bicicleta, De Transporte Público;5;5 a 20 minutos;Como Modo de Transporte;4;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;40;Bicicleta Urbana/Convencional;4;5;5
30-34 anos;Feminino;Divorciado/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Condutor);5;5 a 20 minutos;Para Desporto;;Sim;;Ter vantagens por ir de bicicleta para o destino;0;Bicicleta de Montanha;2;50;50
50-54 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;A pé;De Transporte Público;5;mais de 36 minutos;Para Lazer;;Sim;;Ter uma bicicleta;0;Bicicleta Urbana/Convencional;1;5;
30-34 anos;Masculino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);De Bicicleta;5;5 a 20 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;4;;200
25-29 anos;Masculino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);De Mota (condutor);5;5 a 20 minutos;Para Lazer;;Não;;Nada, considero que não é o modo de transporte adequado ao meu estatuto;0;Bicicleta Urbana/Convencional;1;9;
35-39 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Mota (condutor);Mais nenhum;5;5 a 20 minutos;Para Lazer;;Não;;Só se passasse a morar mais perto do destino;0;Bicicleta de Montanha;1;5;
25-29 anos;Feminino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Braga;A pé;De Carro (Passageiro);5;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Moro perto, Não quero chegar molhado, Não tenho equipamento;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
35-39 anos;Masculino;Solteiro/a;Mestrado;Braga;Braga;Norte;Braga;A pé;De Carro (Condutor);5;21 a 35 minutos;Para Lazer;;Sim;;Ter uma bicicleta, Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Redução do preço de aquisição;0;Bicicleta de Montanha;1;5;5
45-49 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Não uso;;;Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho de levar o(s) meu(s) filho(s) à escola;Não me posso deslocar de bicicleta;;;;;
40-44 anos;Feminino;Unido de Facto;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Para Lazer;;Sim;;Não me posso deslocar de bicicleta;0;Bicicleta Urbana/Convencional;1;;
35-39 anos;Masculino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;De Bicicleta;A pé, De Carro (Condutor);5;5 a 20 minutos;Como Modo de Transporte;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;20;Bicicleta de Montanha;2;5;
35-39 anos;Feminino;Solteiro/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé, De Bicicleta, De Transporte Público;5;Menos de 5 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino;5;Bicicleta de Cicloturismo;2;10;10
45-49 anos;Feminino;Casado/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar molhado, Não quero chegar suado, Tenho de levar o(s) meu(s) filho(s) à escola;Nada, não gosto, Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;;;;;
55-59 anos;Feminino;Casado/a;Doutoramento;Braga;Braga;Norte;Braga;A pé;De Carro (Condutor);5;5 a 20 minutos;Não uso;;;Não tenho bicicleta;Ter ciclovias mais seguras;;;;;
40-44 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Não quero chegar molhado, Não quero chegar suado, Não consigo transportar o(s) meu(s) filho(s) na bicicleta, Tenho de levar o(s) meu(s) filho(s) à escola;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;;;;;
35-39 anos;Feminino;Solteiro/a;Doutoramento;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé, De Bicicleta;5;5 a 20 minutos;Como Modo de Transporte;3;Sim;;Ter ciclovias seguras de casa até ao meu destino;30;Bicicleta Elétrica, Bicicleta de Montanha;3;5;
35-39 anos;Feminino;Unido de Facto;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;0;Bicicleta de Cicloturismo;1;2;
30-34 anos;Masculino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Vila Nova de Famalicão;De Bicicleta;De Carro (Condutor);5;5 a 20 minutos;Como Modo de Transporte;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino;20;Bicicleta de Estrada, Bicicleta de Montanha;3;20;150
60-64 anos;Masculino;Casado/a;Mestrado;Braga;Braga;Norte;Braga;A pé;De Carro (Condutor);5;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, É perigoso andar de bicicleta, Tenho medo que o(s) meu(s) filho(s) usem bicicleta, mesmo comigo a acompanhar;Ter ciclovias seguras de casa até ao meu destino;;;;;
75-79 anos;Masculino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Transporte Público;A pé;5;5 a 20 minutos;Para Lazer;3;Sim;;Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Estrada;3;130;
65-69 anos;Masculino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta de Montanha;4;50;
35-39 anos;Feminino;Solteiro/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;Menos de 5 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar molhado, Não quero chegar suado, Há muitas subidas no meu percurso;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
30-34 anos;Feminino;Solteiro/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Urbana/Convencional;1;15;15
50-54 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino;0;Bicicleta de Montanha;1;30;30
50-54 anos;Feminino;Casado/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Não tenho onde estacionar a bicicleta no local de destino (espaço público);Ter ciclovias seguras de casa até ao meu destino;;;;;
55-59 anos;Masculino;Divorciado/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Bicicleta;De Carro (Condutor);5;5 a 20 minutos;Como Modo de Transporte;5;Sim;;Ter estacionamento seguro para bicicletas no destino;50;Bicicleta de Montanha;6;10;30
55-59 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;Menos de 5 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;3;Bicicleta de Estrada;2;4;10
40-44 anos;Feminino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Tenho de levar o(s) meu(s) filho(s) à escola, Tenho medo que o(s) meu(s) filho(s) usem bicicleta, mesmo comigo a acompanhar;Ter ciclovias seguras de casa até ao meu destino;;;;;
45-49 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);De Bicicleta, De Trotinete;5;5 a 20 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Montanha;1;5;
55-59 anos;Masculino;Casado/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Não quero chegar molhado, Não tenho onde estacionar a bicicleta no local de trabalho, Não tenho onde estacionar a bicicleta no local de destino (espaço público);Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;;;;;
25-29 anos;Feminino;Unido de Facto;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Não quero chegar molhado, Não quero chegar suado, Há muitas subidas no meu percurso, É caro ter uma bicicleta, Não acho prático, Tenho medo que me roubem a bicicleta;Só se passasse a morar mais perto do destino;;;;;
55-59 anos;Feminino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não sei andar de bicicleta;Aprender a andar de bicicleta;;;;;
30-34 anos;Feminino;Solteiro/a;Formação Técnica;Braga;Braga;Norte;Braga;De Bicicleta;A pé, De Carro (Passageiro);5;21 a 35 minutos;Como Modo de Transporte;6;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;60;Bicicleta de Estrada;6;10;10
50-54 anos;Masculino;Solteiro/a;Ensino Básico (1.º Ciclo);Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Condutor);5;5 a 20 minutos;Para Desporto;3;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta de Estrada;3;;150
45-49 anos;Masculino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Mota (condutor);De Carro (Condutor);5;5 a 20 minutos;Para Desporto;;Sim;;Garantir que os carros andem a uma velocidade reduzida;0;Bicicleta de Estrada;3;;150
35-39 anos;Feminino;Casado/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, Não consigo transportar o(s) meu(s) filho(s) na bicicleta, Tenho de levar o(s) meu(s) filho(s) à escola;Ter ciclovias seguras de casa até ao meu destino;;;;;
45-49 anos;Feminino;Viúvo/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé, De Bicicleta;5;mais de 36 minutos;Para Desporto;;Não;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Urbana/Convencional;3;2;15
40-44 anos;Masculino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não quero chegar molhado, Não quero chegar suado, Há muitas subidas no meu percurso;Nada, uma vez que o percurso de casa para o trabalho tem subidas acentuadas, além de que a cidade é muito chuvosa no Outono e Inverno e com muito calor na Primavera e Verão.;;;;;
30-34 anos;Masculino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Não uso;;;Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho de levar o(s) meu(s) filho(s) à escola, Tenho medo de transportar o(s) meu(s) filho(s) na bicicleta;Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino;;;;;
35-39 anos;Masculino;Solteiro/a;Formação Técnica;Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Condutor);5;5 a 20 minutos;Para Desporto;;Sim;;Horário trabalho possível.;0;Bicicleta de Montanha;2;;40
30-34 anos;Feminino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;De Bicicleta;De Carro (Condutor);5;21 a 35 minutos;Como Modo de Transporte;5;Sim;;Ter ciclovias seguras de casa até ao meu destino;50;Bicicleta Elétrica, Bicicleta de Montanha;5;70;70
50-54 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Transporte Público;A pé;5;mais de 36 minutos;Como Modo de Transporte;2;Sim;;Ter ciclovias seguras de casa até ao meu destino;30;Bicicleta Elétrica, Bicicleta Dobrável;2;2;
60-64 anos;Feminino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar molhado, Não quero chegar suado, Há muitas subidas no meu percurso, Não acho prático, É perigoso andar de bicicleta;Nada, não gosto.;;;;;
35-39 anos;Masculino;Unido de Facto;Licenciatura;Braga;Braga;Norte;Braga;A pé;De Mota (condutor);5;5 a 20 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;40;Bicicleta de Montanha;1;40;40
40-44 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;5;5 a 20 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino;0;Bicicleta Urbana/Convencional;2;15;20
55-59 anos;Masculino;Divorciado/a;Formação Técnica;Cascais;Lisboa;Área Metropolitana de Lisboa;Cascais;De Bicicleta;Mais nenhum;5;5 a 20 minutos;Como Modo de Transporte;5;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;40;Bicicleta Elétrica;5;20;
50-54 anos;Feminino;Solteiro/a;Licenciatura;Cascais;Lisboa;Área Metropolitana de Lisboa;Cascais;De Bicicleta;A pé;5;21 a 35 minutos;Como Modo de Transporte;4;Sim;;Mais nada, já vou de bicicleta.;40;Bicicleta Urbana/Convencional;5;40;
45-49 anos;Feminino;Unido de Facto;Licenciatura;Cascais;Lisboa;Área Metropolitana de Lisboa;Cascais;De Transporte Público;De Carro (Condutor);5;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte, Ciclovia de alcabideche até  à estatacao de são  joao do estoril;30;Bicicleta Elétrica;1;30;30
55-59 anos;Masculino;Divorciado/a;Ensino Secundário;Cascais;Lisboa;Área Metropolitana de Lisboa;Cascais;De Mota (condutor);A pé;5;5 a 20 minutos;Não uso;;;Não tenho bicicleta;Ter uma bicicleta;;;;;
45-49 anos;Feminino;Casado/a;Licenciatura;Cascais;Lisboa;Área Metropolitana de Lisboa;Oeiras;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Não uso;;;Não sei andar de bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano;Aprender a andar de bicicleta, Ter ciclovias seguras de casa até ao meu destino;;;;;
45-49 anos;Masculino;Unido de Facto;Ensino Secundário;Cascais;Lisboa;Área Metropolitana de Lisboa;Cascais;De Mota (condutor);Mais nenhum;5;Menos de 5 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;;;;;
35-39 anos;Masculino;Casado/a;Licenciatura;Castelo Branco;Castelo Branco;Centro;Castelo Branco;De Carro (Condutor);Mais nenhum;5;Menos de 5 minutos;Para Lazer;;Não;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;5;
35-39 anos;Masculino;Unido de Facto;Licenciatura;Castelo Branco;Castelo Branco;Centro;Sertã;De Carro (Condutor);A pé;5;Menos de 5 minutos;Para Desporto;;Sim;;Ter vantagens por ir de bicicleta para o destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada;2;100;100
35-39 anos;Masculino;Casado/a;Licenciatura;Coimbra;Coimbra;Centro;Coimbra;De Carro (Condutor);A pé;5;Menos de 5 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não tenho equipamento;Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino, Receber por cada km que pedalasse;;;;;
35-39 anos;Masculino;Solteiro/a;Mestrado;Coimbra;Coimbra;Centro;Coimbra;De Carro (Condutor);A pé, De Bicicleta;5;5 a 20 minutos;Como Modo de Transporte;4;Sim;;Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte, Sentir segurança ao trancar a bike na rua, junto a casa ;30;Bicicleta Elétrica, Bicicleta Dobrável;5;15;15
35-39 anos;Masculino;Unido de Facto;Ensino Secundário;Coimbra;Coimbra;Centro;Coimbra;De Carro (Condutor);Mais nenhum;5;5 a 20 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;1;100;
25-29 anos;Masculino;Solteiro/a;Mestrado;Coimbra;Coimbra;Centro;Coimbra;De Carro (Condutor);Mais nenhum;5;Menos de 5 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Urbana/Convencional;1;;
35-39 anos;Masculino;Solteiro/a;Mestrado;Coimbra;Coimbra;Centro;Coimbra;De Bicicleta;A pé, De Carro (Condutor);5;5 a 20 minutos;Como Modo de Transporte;6;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;40;Bicicleta Elétrica;6;;
45-49 anos;Masculino;Casado/a;Licenciatura;Covilhã;Castelo Branco;Centro;Covilhã;De Bicicleta;De Carro (Condutor);5;5 a 20 minutos;Como Modo de Transporte;5;Sim;;Mais nada, já vou de bicicleta;60;Bicicleta Elétrica;6;100;100
45-49 anos;Masculino;Casado/a;Licenciatura;Espinho;Aveiro;Norte;Espinho;De Carro (Condutor);De Carro (Passageiro);5;5 a 20 minutos;Para Desporto;;Sim;;Não me posso deslocar de bicicleta;0;Bicicleta de Estrada;3;;150
40-44 anos;Masculino;Solteiro/a;Ensino Básico (3º Ciclo);Esposende;Braga;Norte;Esposende;De Bicicleta;A pé;5;5 a 20 minutos;Para Desporto;7;Sim;;Mais nada, já vou de bicicleta;20;Bicicleta de Montanha;4;30;200
45-49 anos;Masculino;Casado/a;Ensino Básico (2º Ciclo);Esposende;Braga;Norte;Esposende;De Bicicleta;De Carro (Condutor);5;5 a 20 minutos;Para Lazer;5;Sim;;Mais nada, já vou de bicicleta;70;Bicicleta Elétrica;5;60;
35-39 anos;Feminino;Casado/a;Ensino Básico (3º Ciclo);Esposende;Braga;Norte;Esposende;De Carro (Condutor);A pé, De Carro (Condutor);5;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Não quero chegar molhado, Não quero chegar suado, Não acho prático, Não tenho onde estacionar a bicicleta no local de destino (espaço público), Tenho medo de transportar o(s) meu(s) filho(s) na bicicleta;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;;;;;
